epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.767,0.98517,4.31051,0.0105,0,0,0,0,1.4605,5.61967,0.02315,0.00019375,0.00019375,0.0808188
2,542.27,0.97283,2.31544,0.01123,0,0,0,0,0.94871,5.06305,0.01475,0.000393483,0.000393483,0.0610185
3,835.03,0.90299,1.86983,0.01087,0.25,0.05455,0.04792,0.03746,0.90075,3.65866,0.01375,0.00059214,0.00059214,0.0412171
4,1103.92,0.87564,1.73563,0.00968,0.3447,0.50546,0.3447,0.25716,1.11955,2.69051,0.01892,0.000788913,0.000788913,0.0214139
5,1490.36,0.80731,1.50306,0.00874,0.44498,0.53247,0.4554,0.3587,0.91867,1.81839,0.01401,0.000983001,0.000983001,0.001608
6,1766.65,0.84876,1.52888,0.00955,0.47086,0.49916,0.46858,0.36332,0.88917,1.75564,0.01391,0.000983133,0.000983133,0.000983133
7,78903.8,0.85098,1.41201,0.00947,0.4419,0.51305,0.48935,0.40068,0.85017,1.55987,0.01289,0.000975773,0.000975773,0.000975773
8,123396,0.88364,1.35276,0.01046,0.4907,0.57545,0.50528,0.40716,0.82301,1.61098,0.01171,0.000967122,0.000967122,0.000967122
9,123788,0.85491,1.31944,0.0098,0.46919,0.6728,0.57002,0.44889,0.86404,1.53746,0.0142,0.000957205,0.000957205,0.000957205
10,124162,0.8793,1.27474,0.01114,0.54407,0.64052,0.57081,0.44152,0.90192,1.50036,0.01381,0.000946048,0.000946048,0.000946048
11,124503,0.85652,1.25331,0.00959,0.54644,0.6119,0.51671,0.43361,0.73238,1.57712,0.01141,0.000933683,0.000933683,0.000933683
12,124920,0.80259,1.20262,0.00913,0.59581,0.58875,0.57683,0.4505,0.8343,1.56407,0.01345,0.000920142,0.000920142,0.000920142
13,125210,0.82421,1.22567,0.00952,0.55899,0.71815,0.62691,0.49274,0.89374,1.43025,0.01484,0.000905463,0.000905463,0.000905463
14,125523,0.84687,1.19527,0.00973,0.70333,0.60649,0.66556,0.54032,0.86918,1.3929,0.01422,0.000889687,0.000889687,0.000889687
15,125806,0.8422,1.14472,0.00945,0.59588,0.68194,0.66605,0.48258,1.10873,1.36195,0.0181,0.000872857,0.000872857,0.000872857
16,126082,0.82036,1.08199,0.00923,0.53186,0.67221,0.59396,0.47287,0.83802,1.56543,0.01438,0.000855018,0.000855018,0.000855018
17,126357,0.8555,0.9879,0.00977,0.4976,0.67482,0.59195,0.48128,0.75423,1.40526,0.01209,0.00083622,0.00083622,0.00083622
18,126823,0.81791,1.1368,0.00939,0.49632,0.60127,0.55903,0.42337,1.02039,1.48677,0.01685,0.000816514,0.000816514,0.000816514
19,127314,0.80984,0.99908,0.00875,0.59505,0.63863,0.65739,0.50107,1.00397,1.32109,0.01753,0.000795954,0.000795954,0.000795954
